acts,address,datefrom,dateto,day,district,filename,link,pahar,psdate,pstation,pstime,section,timefrom,timeto,full_charge,group_charge,hour
1 IPC 1860,"OPPOSIT SURENDER PLOT, VILLAGE NANAKHERI DELHI",2017-01-12,2017-01-12,Thursday,SOUTH WEST,8171058170012.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171058170012,5,2017-01-13,CHHAWALA,16:10,279/337,14:30,14:30,Rash driving-endangering safety of others,Rash driving,14.0
1 IPC 1860,"NEAR SHAMSHAN GHAT, KHAIRA MAIN ROAD, NAJAFGARH NEW DELHI",2017-01-10,2017-01-10,Tuesday,SOUTH WEST,8171058170013.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171058170013,5,2017-01-13,CHHAWALA,20:15,279/337,15:45,15:45,Rash driving-endangering safety of others,Rash driving,15.0
1 IPC 1860,"DAULATPUR CHOK, JHATIKRA ROAD, NAJAFGARH NEW DELHI",2017-01-14,2017-01-14,Saturday,SOUTH WEST,8171058170014.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171058170014,6,2017-01-14,CHHAWALA,22:50,308,17:30,17:30,culpable homicide,culpable homicide,17.0
1 IPC 1860,"H NO 1,2, F BLOCK, QUTUB VIHAR PH -1, NAJAFGARH NEW DELHI",2017-01-15,2017-01-15,Sunday,SOUTH WEST,8171058170016.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171058170016,5,2017-01-15,CHHAWALA,15:45,188,13:00,13:00,Disobedience to pub. Serv. Order,Disobedience to pub. Serv. Order,13.0
1 IPC 1860,"KHAIRA VILL. MAIN ROAD,N.D, NEW DELHI",2017-01-16,2017-01-16,Monday,SOUTH WEST,8171058170018.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171058170018,1,2017-01-16,CHHAWALA,18:21,279/337,00:00,00:00,Rash driving-endangering safety of others,Rash driving,0.0
1 IPC 1860,"MAIN KHAIRA ROAD, NEAR SHAM SHAN GHAT",2017-01-19,2017-01-19,Thursday,SOUTH WEST,8171058170019.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171058170019,6,2017-01-19,CHHAWALA,20:50,279/338,17:15,17:15,Rash driving-endangering safety of others,Rash driving,17.0
1 IPC 1860,UNKNOWN,2017-01-19,2017-01-20,INTERVENING DAY,SOUTH WEST,8171058170020.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171058170020,,2017-01-20,CHHAWALA,18:20,420,09:30,09:30,cheating,cheating,9.0
1 IPC 1860,"H. NO 10, GALI NO 2, A- BLOCK SHYAM VIHAR-I",2017-01-21,2017-01-21,Saturday,SOUTH WEST,8171058170021.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171058170021,7,2017-01-21,CHHAWALA,20:50,188,19:00,19:00,Disobedience to pub. Serv. Order,Disobedience to pub. Serv. Order,19.0
1 IPC 1860,"VILLAGE KANGANHERI, NAJAFGARH NEW DELHI",2017-01-22,2017-01-22,Sunday,SOUTH WEST,8171058170022.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171058170022,4,2017-01-22,CHHAWALA,14:40,188,12:40,12:40,Disobedience to pub. Serv. Order,Disobedience to pub. Serv. Order,12.0
1 IPC 1860,"NEAR BADUSARAI VILLAGE DRANE, NAJAFGARH NEW DELHI",2017-01-22,2017-01-22,Sunday,SOUTH WEST,8171058170023.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171058170023,1,2017-01-22,CHHAWALA,18:15,279/337,00:00,00:00,Rash driving-endangering safety of others,Rash driving,0.0
1 IPC 1860,"H NO 235A, BLOCK E, SHYAM VIHAR NAJAFGARH ND",2017-01-22,2017-01-22,Sunday,SOUTH WEST,8171058170024.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171058170024,5,2017-01-22,CHHAWALA,19:00,420,14:23,14:23,cheating,cheating,14.0
1 IPC 1860,"NEAR DRAIN, Z BLOCK, SHYAM VIHAR NEW DELHI",2017-01-25,2017-01-25,Wednesday,SOUTH WEST,8171058170026.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171058170026,7,2017-01-25,CHHAWALA,22:00,392/34,19:40,19:40,Robbery,Robbery,19.0
1 IPC 1860,"H.NO. 3/2A, GALI NO. 9, ROSHAN VIHAR, NAJAFGARH, ND, NEW DELHI",2017-01-18,2017-01-18,Wednesday,SOUTH WEST,8171058170028.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171058170028,3,2017-01-27,CHHAWALA,20:25,365,07:30,07:30,Kidnapping,Kidnapping,7.0
1 IPC 1860,"IN FRONT OF, PARK NEAR, SANGMITRA APPT, SECTOR 4 DWARKA",2017-01-03,2017-01-03,Tuesday,SOUTH WEST,8171015170003.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171015170003,6,2017-01-03,DWARKA NORTH,20:10,356/379/34,18:30,18:30,Snatching-Theft,Snatching,18.0
1 IPC 1860,"NEAR DPS BUS STAND, MAIN ROAD SEC -3 DWARKA",2017-01-05,2017-01-05,Thursday,SOUTH WEST,8171015170004.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171015170004,2,2017-01-05,DWARKA NORTH,19:15,279/337,06:45,06:45,Rash driving-endangering safety of others,Rash driving,6.0
1 IPC 1860,"NEAR GOVT SCHOOL, SEC -4 DWARKA NEW DELHI",2017-01-05,2017-01-05,Thursday,SOUTH WEST,8171015170007.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171015170007,8,2017-01-05,DWARKA NORTH,23:55,356/379/34,22:15,22:15,Snatching-Theft,Snatching,22.0
1 IPC 1860,SEC 17 DWARKA,2017-01-09,2017-01-09,Monday,SOUTH WEST,8171015170010.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171015170010,1,2017-01-09,DWARKA NORTH,23:50,279/337,00:00,00:00,Rash driving-endangering safety of others,Rash driving,0.0
1 IPC 1860,"INFRONT OF NSIT, GATE ON THE ROAD, HEADING TOWARDS, SEC 04,5 SEC-03 DWARKA",2017-01-10,2017-01-10,Tuesday,SOUTH WEST,8171015170012.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171015170012,2,2017-01-10,DWARKA NORTH,11:25,279/304A,06:40,06:40,Negligence conduct-Rash driving,Rash driving,6.0
1 IPC 1860,"FLAT 323, PKT IV, GANGOTRI APPARTMENT, SEC 12 DWARKA",2017-01-11,2017-01-11,Wednesday,SOUTH WEST,8171015170013.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171015170013,3,2017-01-12,DWARKA NORTH,00:10,363,09:00,09:00,Kidnapping,Kidnapping,9.0
1 IPC 1860,"METRO PILLOR, NO 810, DWARAK, MORE",2017-01-12,2017-01-12,Thursday,SOUTH WEST,8171015170014.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171015170014,1,2017-01-12,DWARKA NORTH,09:05,279/337,03:35,03:35,Rash driving-endangering safety of others,Rash driving,3.0
1 IPC 1860,"PLOT NO 16, PKT B-10, HOTEL SHOURYA, SEC 13 DWARKA NEW DELHI",2017-01-13,2017-01-13,Friday,SOUTH WEST,8171015170015.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171015170015,7,2017-01-13,DWARKA NORTH,22:20,188,21:15,21:15,Disobedience to pub. Serv. Order,Disobedience to pub. Serv. Order,21.0
1 IPC 1860,"OPPOSITE ROAD OF MAIN GATE, NSIT ,SEC 3 DWARKA NEW DELHI",2017-01-14,2017-01-14,Saturday,SOUTH WEST,8171015170017.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171015170017,7,2017-01-15,DWARKA NORTH,04:15,379,20:30,20:30,Theft,Theft,20.0
1 IPC 1860,A—4 NISHANT PARK,2017-01-16,2017-01-16,Monday,SOUTH WEST,8171015170018.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171015170018,7,2017-01-16,DWARKA NORTH,22:30,188,21:55,21:55,Disobedience to pub. Serv. Order,Disobedience to pub. Serv. Order,21.0
1 IPC 1860,"L AND T CHOWK, TOWARDS SEC 19, DWARAK, N.DELHI",2017-01-20,2017-01-20,Friday,SOUTH WEST,8171015170020.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171015170020,4,2017-01-20,DWARKA NORTH,13:15,356/379,11:40,11:40,Snatching-Theft,Snatching,11.0
1 IPC 1860,"BZ/Z-C, BHARAT VIHAR, KAKROLA DELHI (ER ﬁ)",2017-01-20,2017-01-20,Friday,SOUTH WEST,8171015170021.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171015170021,3,2017-01-21,DWARKA NORTH,09:05,363,07:00,07:00,Kidnapping,Kidnapping,7.0
1 IPC 1860,"H NO 263 KAKROLA, HOUSING COMPLEX, KAKROLA, NEW DELHI",2017-01-21,2017-01-21,Saturday,SOUTH WEST,8171015170022.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171015170022,5,2017-01-21,DWARKA NORTH,23:45,363,13:30,13:30,Kidnapping,Kidnapping,13.0
1 IPC 1860,"A—43, AISHWARYAM APARTMENT, PLOT NO-17,DWARKA,SEC-4 ND",2016-11-10,2016-11-10,Thursday,SOUTH WEST,8171015170023.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171015170023,1,2017-01-22,DWARKA NORTH,14:00,306,00:00,00:00,Abetment of suicide,Abetment of suicide,0.0
1 IPC 1860,"BEHIND BALBHARTI, PUBLIC SCHOOL, SEC -12 , DWARKA, NEW DELHI",2017-01-23,2017-01-23,Monday,SOUTH WEST,8171015170024.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171015170024,3,2017-01-23,DWARKA NORTH,10:42,356/379,09:00,09:00,Snatching-Theft,Snatching,9.0
1 IPC 1860,"D 45, BHARAT VIHAR, KAKROLA, NEW DELHI",2017-01-25,2017-01-25,Wednesday,SOUTH WEST,8171015170026.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171015170026,3,2017-01-27,DWARKA NORTH,16:15,363,08:00,08:00,Kidnapping,Kidnapping,8.0
1 IPC 1860,"NEAR SHAMSHAN GATE, SEC-18 DWARKA, NEW DELHI",2017-01-30,2017-01-30,Monday,SOUTH WEST,8171015170028.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171015170028,3,2017-01-30,DWARKA NORTH,10:05,356/379/34,08:20,08:20,Snatching-Theft,Snatching,8.0
1 IPC 1860,"ATULYA CHOCK, SEC18 DWARKA NEW DELHI",2017-01-28,2017-01-28,Saturday,SOUTH WEST,8171015170029.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171015170029,5,2017-01-30,DWARKA NORTH,13:00,279,13:30,13:30,Rash driving,Rash driving,13.0
1 IPC 1860,"SEC -1SBDWARKA T POINT, NEAR PRESIDUM SCHOOL, NEW DELHI",2017-01-30,2017-01-30,Monday,SOUTH WEST,8171015170030.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171015170030,6,2017-01-30,DWARKA NORTH,18:45,279/337,16:00,18:45,Rash driving-endangering safety of others,Rash driving,16.0
1 IPC 1860,"DWARKA DABRI ROAD, ON SIDE ROAD OF, DTC, DEPOT SEQ-2 DWARKA",2017-01-01,2017-01-01,Sunday,SOUTH WEST,8171014170002.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171014170002,2,2017-01-01,DWARKA SOUTH,09:55,279/337,06:00,06:00,Rash driving-endangering safety of others,Rash driving,6.0
1 IPC 1860,"PANDIT CHOWK NEAR RAMPHAL CHOWK, SEC 7 DWARKA",2017-01-02,2017-01-02,Monday,SOUTH WEST,8171014170004.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171014170004,6,2017-01-02,DWARKA SOUTH,19:45,279/338,17:30,17:30,Rash driving-endangering safety of others,Rash driving,17.0
1 IPC 1860,"IN FRONT OF SHOP NO G-TA PLOT NO 6 MLU MKT, SEC-6 DWARKA NEW DELHI",2017-01-03,2017-01-03,Tuesday,SOUTH WEST,8171014170005.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171014170005,5,2017-01-03,DWARKA SOUTH,16:55,283/290,15:20,15:20,obstruction by a person-public nuisance,obstruction by a person-public nuisance,15.0
1 IPC 1860,"SIDE OF SHOP NO G-9-10 PLOT NO 4-5 GALERY, SEC-6 DWARKA NEW DELHI",2017-01-03,2017-01-03,Tuesday,SOUTH WEST,8171014170006.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171014170006,6,2017-01-03,DWARKA SOUTH,17:40,283/290,16:30,16:30,obstruction by a person-public nuisance,obstruction by a person-public nuisance,16.0
1 IPC 1860,"NEAR OLD AGE HOME MAIND ROAD, TWARDS POWER HOUSE BUS STOP",2017-01-03,2017-01-03,Tuesday,SOUTH WEST,8171014170007.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171014170007,7,2017-01-03,DWARKA SOUTH,23:30,356/379/34,21:45,21:45,Snatching-Theft,Snatching,21.0
1 IPC 1860,"FOOT PATH NEAR SHANKUTLA APPT, SEC-10 DWARKA",2017-01-05,2017-01-05,Thursday,SOUTH WEST,8171014170011.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171014170011,7,2017-01-05,DWARKA SOUTH,20:40,283/290,19:00,19:00,obstruction by a person-public nuisance,obstruction by a person-public nuisance,19.0
1 IPC 1860,"SEQ-9, DWARKA, NEAR BSES, OFFICE",2017-01-07,2017-01-07,Saturday,SOUTH WEST,8171014170012.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171014170012,4,2017-01-07,DWARKA SOUTH,12:00,356/379,11:00,11:00,Snatching-Theft,Snatching,11.0
1 IPC 1860,"MAIN ROAD NEAR RED LIGHT, SEC 1 DWARKA",2016-10-20,2016-10-20,Thursday,SOUTH WEST,8171014170013.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171014170013,5,2017-01-07,DWARKA SOUTH,18:20,341/325/509,15:00,15:00,grievous hurt-sexual harrasement-wrong restraint,sexual harrasement,15.0
1 IPC 1860,"NEAR GOKUL GARDEN, ROAD DDA APPTT, SEQ-7 DWARKA, NEW DELHI",2017-01-08,2017-01-08,Sunday,SOUTH WEST,8171014170016.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171014170016,4,2017-01-08,DWARKA SOUTH,11:50,268/269/270,10:30,10:30,Negligent conduct-public nuisance,Negligent conduct-public nuisance,10.0
1 IPC 1860,"MAIN ROAD NEAR AXIS BANK, SEC 5 DWARKA",2017-01-08,2017-01-08,Sunday,SOUTH WEST,8171014170018.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171014170018,6,2017-01-08,DWARKA SOUTH,18:15,283/290,17:15,17:15,obstruction by a person-public nuisance,obstruction by a person-public nuisance,17.0
1 IPC 1860,"NEAR CANERA BANK WITH CCRT WALL SEC-7, DWARKA",2017-01-09,2017-01-09,Monday,SOUTH WEST,8171014170020.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171014170020,6,2017-01-09,DWARKA SOUTH,18:50,283/290,17:50,17:50,obstruction by a person-public nuisance,obstruction by a person-public nuisance,17.0
1 IPC 1860,"NEAR MALERIA INSTITUTE, SEC-8 DWARKA",2017-01-09,2017-01-09,Monday,SOUTH WEST,8171014170022.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171014170022,7,2017-01-09,DWARKA SOUTH,20:15,283/290,19:00,19:00,obstruction by a person-public nuisance,obstruction by a person-public nuisance,19.0
1 IPC 1860,GANDA NALA SEC-11 DWARKA,2017-01-10,2017-01-10,Tuesday,SOUTH WEST,8171014170023.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171014170023,6,2017-01-10,DWARKA SOUTH,20:25,356/379/34,18:30,18:30,Snatching-Theft,Snatching,18.0
1 IPC 1860,"NEAR K M CHOWK SEC 11-12, DWARKA N.D.",2017-01-11,2017-01-11,Wednesday,SOUTH WEST,8171014170024.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171014170024,5,2017-01-11,DWARKA SOUTH,18:20,279/337,15:30,15:30,Rash driving-endangering safety of others,Rash driving,15.0
1 IPC 1860,"MAIN ROAD NEAR BHASKRACHARYA COLLEGE, SEC 2 DWARKA",2017-01-11,2017-01-11,Wednesday,SOUTH WEST,8171014170025.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171014170025,5,2017-01-11,DWARKA SOUTH,21:10,279/337,14:00,14:00,Rash driving-endangering safety of others,Rash driving,14.0
1 IPC 1860,"RZB-60 MAHAVIR VIHAR, SEC 1 DWARKA",2017-01-13,2017-01-13,Friday,SOUTH WEST,8171014170027.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171014170027,7,2017-01-13,DWARKA SOUTH,20:25,188,19:00,19:00,Disobedience to pub. Serv. Order,Disobedience to pub. Serv. Order,19.0
1 IPC 1860,"BETWEEN RED FORT, TO DWARKA",2017-01-11,2017-01-11,Wednesday,SOUTH WEST,8171014170028.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171014170028,6,2017-01-13,DWARKA SOUTH,20:50,328/379/34,17:30,17:30,Theft,Theft,17.0
1 IPC 1860,"NEAR PETROL PUMP, SEC- AND 7 RED LIGHT",2017-01-12,2017-01-12,Thursday,SOUTH WEST,8171014170029.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171014170029,5,2017-01-14,DWARKA SOUTH,13:50,356/379/34,13:00,13:00,Snatching-Theft,Snatching,13.0
1 IPC 1860,"MUNDHELA TOLL TAX, NEW DELHI",2017-01-05,2017-01-05,Thursday,SOUTH WEST,8171020170002.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171020170002,1,2017-01-05,JAFFARPUR KALAN,01:05,188,00:15,00:15,Disobedience to pub. Serv. Order,Disobedience to pub. Serv. Order,0.0
1 IPC 1860,"VPO DHANSA, NEAR REST HOUSE, NEW DELHI",2017-01-07,2017-01-07,Saturday,SOUTH WEST,8171020170004.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171020170004,6,2017-01-08,JAFFARPUR KALAN,07:35,308/34,18:00,18:00,culpable homicide,culpable homicide,18.0
1 IPC 1860,"VPO JAFFARPUR KALAN, NEW DELHI",2017-01-08,2017-01-08,Sunday,SOUTH WEST,8171020170005.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171020170005,4,2017-01-08,JAFFARPUR KALAN,12:00,420,10:09,10:09,cheating,cheating,10.0
1 IPC 1860,"HOUSE OF RANBIR SINGH, VILLAGE SURHERA",2017-01-08,2017-01-08,Sunday,SOUTH WEST,8171020170008.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171020170008,6,2017-01-08,JAFFARPUR KALAN,18:20,288/337,16:00,16:00,Negligent conduct-endangering safety of others,Negligent conduct-endangering safety of others,16.0
1 IPC 1860,"VILLAGE ISSAPUR, NAKA, MCD",2017-01-10,2017-01-10,Tuesday,SOUTH WEST,8171020170009.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171020170009,1,2017-01-10,JAFFARPUR KALAN,03:05,188,02:00,02:00,Disobedience to pub. Serv. Order,Disobedience to pub. Serv. Order,2.0
1 IPC 1860,"VPO UJWA, NEW DELHI",2017-01-12,2017-01-12,Thursday,SOUTH WEST,8171020170011.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171020170011,,2017-01-12,JAFFARPUR KALAN,20:25,365,01:30,09:30,Kidnapping,Kidnapping,1.0
1 IPC 1860,"H.NO. RZ-6, DABAR ENCALVE, JAFFARPUR KALAN, NEW DELHI",2017-01-12,2017-01-12,Thursday,SOUTH WEST,8171020170012.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171020170012,4,2017-01-12,JAFFARPUR KALAN,20:30,448/380/506/34,12:30,12:30,Criminal intimidation-Theft-house-trespass,Theft,12.0
1 IPC 1860,"HOUSE OF NAVEEN, VILLAGE KHERA DABAR, DELHI",2017-01-12,2017-01-12,Thursday,SOUTH WEST,8171020170013.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171020170013,5,2017-01-13,JAFFARPUR KALAN,18:30,363,15:00,15:00,Kidnapping,Kidnapping,15.0
1 IPC 1860,UNKNOWN,2017-01-12,2017-01-13,INTERVENING DAY,SOUTH WEST,8171020170014.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171020170014,,2017-01-14,JAFFARPUR KALAN,19:45,420,00:00,00:00,cheating,cheating,0.0
1 IPC 1860,"H.NO. 64, GALI NO. 11, RAWTA MORE, DABAR ENCLAVE, NEW DELHI",2017-01-15,2017-01-15,Sunday,SOUTH WEST,8171020170015.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171020170015,5,2017-01-15,JAFFARPUR KALAN,14:10,188,13:10,13:10,Disobedience to pub. Serv. Order,Disobedience to pub. Serv. Order,13.0
1 IPC 1860,"RAWTA ROAD, 700 METER AHEAD RTRM HOSPITAL, NEAR ELECTRICITY POLE NO.DESU, HPC-6",2017-01-15,2017-01-15,Sunday,SOUTH WEST,8171020170016.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171020170016,4,2017-01-15,JAFFARPUR KALAN,14:40,279/337,12:00,12:00,Rash driving-endangering safety of others,Rash driving,12.0
1 IPC 1860,"IN THE HOUSE OF BRAHAM PRAKASH, VILLAGE SURHERA, NEW DELHI",2017-01-15,2017-01-15,Sunday,SOUTH WEST,8171020170017.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171020170017,5,2017-01-16,JAFFARPUR KALAN,14:50,498A/304B/34,14:44,14:44,Dowry death-domestic abuse,domestic abuse,14.0
1 IPC 1860,"TOLL TAX BOOTH, DEVERKHANA II",2017-01-20,2017-01-20,Friday,SOUTH WEST,8171020170018.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171020170018,8,2017-01-21,JAFFARPUR KALAN,01:35,188,23:00,23:00,Disobedience to pub. Serv. Order,Disobedience to pub. Serv. Order,23.0
1 IPC 1860,"HOUSE OF DALBIR VPO RAWTA, NEW DELHI",2017-01-21,2017-01-21,Saturday,SOUTH WEST,8171020170019.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171020170019,3,2017-01-21,JAFFARPUR KALAN,18:15,363,08:30,08:30,Kidnapping,Kidnapping,8.0
1 IPC 1860,,2017-01-21,2017-01-21,Saturday,SOUTH WEST,8171020170020.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171020170020,7,2017-01-21,JAFFARPUR KALAN,21:10,188,20:15,20:15,Disobedience to pub. Serv. Order,Disobedience to pub. Serv. Order,20.0
1 IPC 1860,VPO KHARKHARI JATMAL NEW DELHI,2017-01-22,2017-01-24,INTERVENING DAY,SOUTH WEST,8171020170023.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171020170023,,2017-01-24,JAFFARPUR KALAN,12:35,365,19:30,12:35,Kidnapping,Kidnapping,19.0
1 IPC 1860,"CLASSROOM DMC,ITI JAFFARPUR, NEW DELHI",2016-11-18,2016-11-18,Friday,SOUTH WEST,8171020170024.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171020170024,5,2017-01-24,JAFFARPUR KALAN,14:00,506/509/34,15:00,15:00,Criminal intimidation-sexual harrasement,sexual harrasement,15.0
1 IPC 1860,"DND SULABH SHUACHALAY, NOIDA JANE WALE ROAD PAR",2017-01-03,2017-01-03,Tuesday,SOUTH-EAST,8955016170004.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955016170004,7,2017-01-04,SUNLIGHT COLONY,16:30,379/34,21:15,21:15,Theft,Theft,21.0
1 IPC 1860,"BUS STAND RING ROAD, SARAI KALE KHAN",2017-01-06,2017-01-06,Friday,SOUTH-EAST,8955016170005.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955016170005,7,2017-01-06,SUNLIGHT COLONY,22:25,379,20:30,20:30,Theft,Theft,20.0
1 IPC 1860,ASHRAM CHOWK BUS STAND,2017-01-08,2017-01-08,Sunday,SOUTH-EAST,8955016170007.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955016170007,5,2017-01-09,SUNLIGHT COLONY,08:10,279/323/3411'34,14:50,14:50,Causing hurt-Rash driving,Rash driving,14.0
1 IPC 1860,"SHOP NO. 102/7, HARI NAGAR ASHRAM NEW DELHI",2017-01-09,2017-01-09,Monday,SOUTH-EAST,8955016170008.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955016170008,8,2017-01-10,SUNLIGHT COLONY,08:10,380,23:30,23:30,Theft,Theft,23.0
1 IPC 1860,"A—2, RAZIA BUILDING, HARI NAGAR ASHRAM, NEW DELHI",2017-01-12,2017-01-12,Thursday,SOUTH-EAST,8955016170010.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955016170010,3,2017-01-12,SUNLIGHT COLONY,18:45,363,08:30,08:30,Kidnapping,Kidnapping,8.0
1 IPC 1860,"MATHURA ROAD, NEAR PETROL PUMP, ASHRAM, NEW DELHI",2017-01-14,2017-01-14,Saturday,SOUTH-EAST,8955016170011.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955016170011,4,2017-01-14,SUNLIGHT COLONY,16:00,379/34,12:15,12:15,Theft,Theft,12.0
1 IPC 1860,"149, FIRST FLOOR, NEAR AGGARWAL SWEETS, MAIN RING ROAD, KILOKARI, NEW DELHI-14",2017-01-09,2017-01-12,INTERVENING DAY,SOUTH-EAST,8955016170013.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955016170013,,2017-01-16,SUNLIGHT COLONY,18:25,408,09:00,18:00,corruption,corruption,9.0
1 IPC 1860,"H.NO. T-86, SARAI KALE KHAN",2017-01-16,2017-01-16,Monday,SOUTH-EAST,8955016170014.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955016170014,7,2017-01-16,SUNLIGHT COLONY,22:00,188,20:00,20:00,Disobedience to pub. Serv. Order,Disobedience to pub. Serv. Order,20.0
1 IPC 1860,"45A, BHAGWAN NAGAR, SAINI GALI, ASHRAM ND.",2016-05-20,2016-05-20,Friday,SOUTH-EAST,8955016170015.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955016170015,1,2017-01-17,SUNLIGHT COLONY,13:25,498A/406/34,00:00,00:00,Criminal breach of trust-domestic abuse,domestic abuse,0.0
1 IPC 1860,"DDA PARK, NEAR MCD SCHOOL, SARAI KALE KHAN, DELHI",2017-01-17,2017-01-17,Tuesday,SOUTH-EAST,8955016170016.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955016170016,5,2017-01-17,SUNLIGHT COLONY,20:55,363,15:00,15:00,Kidnapping,Kidnapping,15.0
